"cellType","ensemblID","geneSet","symbol"
"neutrophil","ENSG00000108479","neut3","GALK1"
"neutrophil","ENSG00000108523","neut1","RNF167"
"neutrophil","ENSG00000108582","neut4","CPD"
"neutrophil","ENSG00000108590","neut2","MED31"
"neutrophil","ENSG00000108599","neut2","AKAP10"
"neutrophil","ENSG00000108669","neut3","CYTH1"
"neutrophil","ENSG00000108774","neut3","RAB5C"
"neutrophil","ENSG00000108840","neut1","HDAC5"
"neutrophil","ENSG00000109046","neut5","WSB1"
"neutrophil","ENSG00000109103","neut1","UNC119"
"neutrophil","ENSG00000109107","neut3","ALDOC"
"neutrophil","ENSG00000109111","neut1","SUPT6H"
"neutrophil","ENSG00000109270","neut4","LAMTOR3"
"neutrophil","ENSG00000109320","neut4","NFKB1"
"neutrophil","ENSG00000109332","neut2","UBE2D3"
"neutrophil","ENSG00000109381","neut2","ELF2"
"neutrophil","ENSG00000109466","neut2","KLHL2"
"neutrophil","ENSG00000109670","neut2","FBXW7"
"neutrophil","ENSG00000109743","neut6","BST1"
"neutrophil","ENSG00000109854","neut2","HTATIP2"
"neutrophil","ENSG00000110046","neut1","ATG2A"
"neutrophil","ENSG00000110047","neut3","EHD1"
"neutrophil","ENSG00000110075","neut2","PPP6R3"
"neutrophil","ENSG00000110080","neut1","ST3GAL4"
"neutrophil","ENSG00000110203","neut1","FOLR3"
"neutrophil","ENSG00000110315","neut2","RNF141"
"neutrophil","ENSG00000110422","neut2","HIPK3"
"neutrophil","ENSG00000110446","neut3","SLC15A3"
"neutrophil","ENSG00000110619","neut1","CARS"
"neutrophil","ENSG00000110713","neut1","NUP98"
"neutrophil","ENSG00000110719","neut1","TCIRG1"
"neutrophil","ENSG00000110756","neut4","HPS5"
"neutrophil","ENSG00000110768","neut4","GTF2H1"
"neutrophil","ENSG00000110852","neut6","CLEC2B"
"neutrophil","ENSG00000110931","neut3","CAMKK2"
"neutrophil","ENSG00000110934","neut1","BIN2"
"neutrophil","ENSG00000111052","neut2","LIN7A"
"neutrophil","ENSG00000111144","neut2","LTA4H"
"neutrophil","ENSG00000111229","neut6","ARPC3"
"neutrophil","ENSG00000111261","neut2","MANSC1"
"neutrophil","ENSG00000111321","neut1","LTBR"
"neutrophil","ENSG00000111348","neut1","ARHGDIB"
"neutrophil","ENSG00000111490","neut3","TBC1D30"
"neutrophil","ENSG00000111540","neut1","RAB5B"
"neutrophil","ENSG00000111642","neut1","CHD4"
