libId,BAD_CYCLES,MEAN_READ_LENGTH,PCT_ADAPTER,PCT_CHIMERAS,PCT_PF_READS,PCT_PF_READS_ALIGNED,PCT_READS_ALIGNED_IN_PAIRS,PF_ALIGNED_BASES,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ERROR_RATE,PF_HQ_MEDIAN_MISMATCHES,PF_INDEL_RATE,PF_MISMATCH_RATE,PF_NOISE_READS,PF_READS,PF_READS_ALIGNED,READS_ALIGNED_IN_PAIRS,STRAND_BALANCE,TOTAL_READS,CODING_BASES,CORRECT_STRAND_READS,IGNORED_READS,INCORRECT_STRAND_READS,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,PCT_CODING_BASES,PCT_CORRECT_STRAND_READS,PCT_INTERGENIC_BASES,PCT_INTRONIC_BASES,PCT_MRNA_BASES,PCT_RIBOSOMAL_BASES,PCT_USABLE_BASES,PCT_UTR_BASES,PF_ALIGNED_BASES,PF_BASES,RIBOSOMAL_BASES,UTR_BASES,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,too_low_aQual,not_aligned,alignment_not_unique,PERCENT_DUPLICATION,READ_PAIRS_EXAMINED,READ_PAIR_DUPLICATES,READ_PAIR_OPTICAL_DUPLICATES,UNMAPPED_READS,UNPAIRED_READS_EXAMINED,UNPAIRED_READ_DUPLICATES,mapped_reads_w_dups
lib12387_C95GDANXX,0,55.640259,0,0,1,1,0,548552734,489883038,481291061,8804918,0.003016,0,0.000068,0.003134,0,9859390,9859390,0,0.456469,9859390,216482974,24755,0,5649923,19910796,29993393,1.075772,0.087656,0.098381,0.718633,0.394644,0.004362,0.036297,0.054677,0.899239,0.009787,0.899196,0.504595,548552734,548579009,5368942,276797052,10351573,9859393,95.2%,1054473,10.7%,541510,214321,0,0,4051209,0.69708,0,0,0,0,9859390,6872785,0.952453
lib12388_C95GDANXX,0,55.632146,0,0,1,1,0,472608944,424657472,417066011,7633804,0.002983,0,0.000057,0.003077,0,8495570,8495570,0,0.478875,8495570,206323431,17744,0,4876256,17970177,39705645,0.880546,0.089557,0.117055,0.572148,0.436563,0.003626,0.038023,0.084014,0.870313,0.00765,0.87028,0.43375,472608944,472626793,3615687,204994292,8847791,8495573,96.0%,861767,10.1%,727252,169311,0,0,3486243,0.635599,0,0,0,0,8495570,5399777,0.960191
lib12389_C95GDANXX,0,55.645381,0,0,1,1,0,715725552,631140642,620566261,11342936,0.003776,0,0.000036,0.003878,0,12862465,12862465,0,0.457913,12862465,313829840,49907,0,7122905,36922183,78330315,0.895211,0.19986,0.277828,0.597457,0.438478,0.006958,0.051587,0.109442,0.827821,0.01115,0.827808,0.389343,715725552,715736770,7980566,278662767,13488528,12862468,95.4%,1519530,11.8%,1370005,204767,0,0,6744846,0.648076,0,0,0,0,12862465,8335855,0.953586
lib12390_C95GDANXX,0,55.643712,0,0,1,1,0,496390771,446477544,439026320,8024097,0.00363,0,0.000031,0.00373,0,8921001,8921001,0,0.468739,8921001,215880665,23152,0,4775845,22511507,62954408,0.860863,0.175303,0.248328,0.621287,0.434901,0.004824,0.04535,0.126824,0.821188,0.006638,0.821176,0.386287,496390771,496397612,3294884,191749355,9400755,8921004,94.9%,896905,10.1%,1155832,134158,0,0,3845024,0.595819,0,0,0,0,8921001,5315302,0.948966
lib12391_C95GDANXX,0,55.640394,0,0,1,1,0,1178533090,1044973982,1027338099,18781708,0.003666,0,0.00004,0.003763,0,21181654,21181654,0,0.465497,21181654,492242809,54285,0,11646792,61354473,108599596,0.976285,0.120568,0.156862,0.645068,0.417674,0.004639,0.05206,0.092148,0.848149,0.007643,0.848132,0.430475,1178533090,1178555581,9007889,507328446,22274918,21181657,95.1%,2399947,11.3%,1959053,363663,0,0,10720260,0.726056,0,0,0,0,21181654,15379072,0.950920
lib12392_C95GDANXX,0,55.637246,0,0,1,1,0,692063278,626535170,615848202,11261333,0.003412,0,0.000032,0.003524,0,12439027,12439027,0,0.468734,12439027,282965331,44867,0,6464634,33321547,114210383,0.916352,0.200527,0.267319,0.596688,0.408872,0.006893,0.048148,0.165029,0.777918,0.008906,0.777906,0.369045,692063278,692073206,6163286,255402814,13252365,12439030,93.9%,1177695,9.5%,2150982,197090,0,0,4894029,0.570189,0,0,0,0,12439027,7092600,0.938627
lib12393_C95GDANXX,0,55.641316,0,0,1,1,0,590280597,519279223,510549614,9333360,0.003498,0,0.000036,0.003568,0,10608828,10608828,0,0.467912,10608828,267035729,22208,0,6113556,29424189,51281399,0.850205,0.187503,0.270805,0.602006,0.452388,0.003619,0.049848,0.086876,0.85498,0.008296,0.854967,0.402592,590280597,590289147,4897183,237642155,11079597,10608831,95.8%,1275469,12.0%,869626,181267,0,0,5882988,0.65666,0,0,0,0,10608828,6966390,0.957510
lib12394_C95GDANXX,0,55.642825,0,0,1,1,0,600807888,494053648,485589521,8880066,0.00322,0,0.000052,0.003258,0,10797814,10797814,0,0.445314,10797814,200806822,28233,0,5817407,49112390,41124174,1.413668,0.055678,0.046006,0.930675,0.334228,0.00483,0.081744,0.068448,0.833477,0.016331,0.833459,0.499249,600807888,600820871,9811997,299952628,11552570,10797817,93.5%,1917749,17.8%,531847,175425,0,0,9770824,0.758565,0,0,0,0,10797814,8190842,0.934668
lib12395_C95GDANXX,0,55.639673,0,0,1,1,0,545184282,476609594,468204293,8566662,0.002987,0,0.00006,0.003119,0,9798869,9798869,0,0.481546,9798869,222212491,28998,0,5774280,23974385,37948929,1.036626,0.111043,0.129098,0.650801,0.407592,0.004997,0.043975,0.069608,0.87802,0.008399,0.877985,0.470428,545184282,545205866,4578873,256469959,10234852,9798872,95.7%,1232208,12.6%,654745,200256,0,0,5031758,0.627248,0,0,0,0,9798869,6146323,0.957402
lib12396_C95GDANXX,0,55.622703,0,0,1,1,0,540817102,478666126,469708280,8606137,0.002877,0,0.000051,0.002986,0,9723283,9723283,0,0.468862,9723283,232630072,32030,0,5670322,24261880,46801699,0.900835,0.176999,0.239742,0.55855,0.430146,0.005617,0.044862,0.086539,0.860193,0.008407,0.860164,0.430048,540817102,540835280,4546720,232577102,10158340,9723286,95.7%,1117147,11.5%,835793,152945,0,0,4674081,0.602933,0,0,0,0,9723283,5862487,0.957172
lib12397_C95GDANXX,0,55.629311,0,0,1,1,0,603516250,534418488,524982745,9607344,0.003313,0,0.000036,0.003414,0,10849060,10849060,0,0.470638,10849060,261851764,29665,0,6461035,22947203,44046127,0.898993,0.168049,0.223765,0.658745,0.433877,0.00457,0.038023,0.072983,0.877074,0.011921,0.87706,0.443197,603516250,603525730,7194649,267476622,11505267,10849063,94.3%,1241717,11.4%,778348,174666,0,0,4838022,0.668805,0,0,0,0,10849060,7255910,0.942965
lib12398_C95GDANXX,0,55.646759,0,0,1,1,0,543229868,457580627,449755478,8223684,0.003284,0,0.000044,0.003355,0,9762294,9762294,0,0.468466,9762294,208916224,21215,0,5497743,30620437,33392141,1.131995,0.097243,0.104379,0.807075,0.384582,0.003844,0.056367,0.06147,0.86269,0.019473,0.862674,0.478109,543229868,543240018,10578286,259722935,10275676,9762297,95.0%,1538611,15.8%,466164,164151,0,0,6898190,0.716468,0,0,0,0,9762294,6994367,0.950039
lib12399_C95GDANXX,0,55.642188,0,0,1,1,0,647883028,543190177,533786350,9763024,0.002959,0,0.00006,0.003001,0,11644022,11644022,0,0.475394,11644022,204935410,21877,0,5771695,50184213,46817694,1.64956,0.035214,0.022698,1.060269,0.316315,0.003776,0.077459,0.072263,0.835198,0.01508,0.835178,0.518883,647883028,647898867,9770368,336175492,12344494,11644025,94.3%,1880999,16.2%,649824,176247,0,0,9444148,0.803306,0,0,0,0,11644022,9353710,0.943256
lib12400_C95GDANXX,0,55.653723,0,0,1,1,0,1019601689,915021493,899597193,16441915,0.002991,0,0.000041,0.00307,0,18320818,18320818,0,0.46987,18320818,407506564,48298,0,9823258,45433970,110152552,0.904797,0.129268,0.19073,0.664101,0.399672,0.004893,0.044561,0.108035,0.830682,0.016722,0.830666,0.43101,1019601689,1019621738,17050255,439458583,19487015,18320821,94.0%,1878904,10.3%,2040260,261394,0,0,7791403,0.743262,0,0,0,0,18320818,13617160,0.940155
