"cellType","ensemblID","geneSet","symbol"
"lymphocyte","ENSG00000130726","lymp0","TRIM28"
"lymphocyte","ENSG00000070985","lymp0","TRPM5"
"lymphocyte","ENSG00000171045","lymp0","TSNARE1"
"lymphocyte","ENSG00000100154","lymp0","TTC28"
"lymphocyte","ENSG00000108312","lymp0","UBTF"
"lymphocyte","ENSG00000102226","lymp0","USP11"
"lymphocyte","ENSG00000126870","lymp0","WDR60"
"lymphocyte","ENSG00000135925","lymp0","WNT10A"
"lymphocyte","ENSG00000108379","lymp0","WNT3"
"lymphocyte","ENSG00000241127","lymp0","YAE1D1"
"lymphocyte","ENSG00000100027","lymp0","YPEL1"
"lymphocyte","ENSG00000166707","lymp0","ZCCHC18"
"lymphocyte","ENSG00000179588","lymp0","ZFPM1"
"lymphocyte","ENSG00000176293","lymp0","ZNF135"
"lymphocyte","ENSG00000267508","lymp0","ZNF285"
"lymphocyte","ENSG00000249459","lymp0","ZNF286B"
"lymphocyte","ENSG00000168661","lymp0","ZNF30"
"lymphocyte","ENSG00000105136","lymp0","ZNF419"
"lymphocyte","ENSG00000243943","lymp0","ZNF512"
"lymphocyte","ENSG00000167555","lymp0","ZNF528"
"lymphocyte","ENSG00000189190","lymp0","ZNF600"
"lymphocyte","ENSG00000198429","lymp0","ZNF69"
"lymphocyte","ENSG00000147789","lymp0","ZNF7"
"lymphocyte","ENSG00000174255","lymp0","ZNF80"
"lymphocyte","ENSG00000204514","lymp0","ZNF814"
"lymphocyte","ENSG00000196605","lymp0","ZNF846"
"lymphocyte","ENSG00000176371","lymp0","ZSCAN2"
"lymphocyte","ENSG00000081760","lymp1","AACS"
"lymphocyte","ENSG00000248487","lymp1","ABHD14A"
"lymphocyte","ENSG00000114779","lymp1","ABHD14B"
"lymphocyte","ENSG00000122729","lymp1","ACO1"
"lymphocyte","ENSG00000177465","lymp1","ACOT4"
"lymphocyte","ENSG00000154930","lymp1","ACSS1"
"lymphocyte","ENSG00000101442","lymp1","ACTR5"
"lymphocyte","ENSG00000168803","lymp1","ADAL"
"lymphocyte","ENSG00000197381","lymp1","ADARB1"
"lymphocyte","ENSG00000133597","lymp1","ADCK2"
"lymphocyte","ENSG00000072071","lymp1","ADGRL1"
"lymphocyte","ENSG00000239900","lymp1","ADSL"
"lymphocyte","ENSG00000106624","lymp1","AEBP1"
"lymphocyte","ENSG00000181026","lymp1","AEN"
